strategy_name,period_name,symbol,total_return,annual_return,buy_and_hold_return,excess_return,sharpe_ratio,sortino_ratio,max_drawdown,volatility,total_trades,win_rate,profit_factor,avg_win,avg_loss,correct_signals,total_signals,signal_accuracy
SMA Crossover (20/50),Custom Period 1 (Aug 2025 - Nov 2025),AAPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
Mean Reversion (20 day),Custom Period 1 (Aug 2025 - Nov 2025),AAPL,-16.917757502804875,-52.86565390921605,0.0,-16.917757502804875,-2.7978883295465122,-2.859277531693421,16.917757502804875,18.438480291611263,3,0.0,0.0,0.0,-5639.252500934953,0,3,0.0
Momentum (10/20/50),Custom Period 1 (Aug 2025 - Nov 2025),AAPL,-7.825034038934886,-28.15646370430871,0.0,-7.825034038934886,-1.3283435013937037,-1.4411389500966851,8.976822681234292,17.359994145097513,1,0.0,0.0,0.0,-7825.034038934899,0,1,0.0
Multi-Factor Scoring,Custom Period 1 (Aug 2025 - Nov 2025),AAPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
Kalman Adaptive Filter,Custom Period 1 (Aug 2025 - Nov 2025),AAPL,1.081184751920402,4.46089194388315,0.0,1.081184751920402,0.1547903145810194,0.04436753285329447,2.908050279422518,8.713763571272795,1,100.0,0.0,1081.1847519204225,0.0,1,1,100.0
Kalman Adaptive (Sensitive),Custom Period 1 (Aug 2025 - Nov 2025),AAPL,11.875799430159445,57.6839711786518,0.0,11.875799430159445,3.149271007831202,6.899794972970853,1.0006541946163034,9.374382489738196,4,100.0,0.0,2968.9498575398584,0.0,4,4,100.0
Volume Profile Swing,Custom Period 1 (Aug 2025 - Nov 2025),AAPL,7.200896139616976,32.603576450616735,0.0,7.200896139616976,1.4599826412089734,1.9040020410821734,4.612915834641579,12.335163668569876,2,100.0,0.0,3600.44806980849,0.0,2,2,100.0
Volume Profile (Fast),Custom Period 1 (Aug 2025 - Nov 2025),AAPL,3.2065711093326392,13.665585483429265,0.0,3.2065711093326392,0.6359907969005628,0.5109059668010197,4.322985864414878,11.651531181312075,2,50.0,3.8947432624870397,4314.293217502505,-1107.7221081698608,1,2,50.0
HMM Regime Detection,Custom Period 1 (Aug 2025 - Nov 2025),AAPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
HMM Regime (Long-term),Custom Period 1 (Aug 2025 - Nov 2025),AAPL,6.363406763626539,28.44932814645944,0.0,6.363406763626539,1.3065289108747908,0.6880484383226891,3.486482754400931,12.100058990425302,1,100.0,0.0,6363.406763626557,0.0,1,1,100.0
